0,名詞
46,故郷%2C家,home
47,言語,language
48,例,example
49,歴史,history
50,側面,side
0,名詞
1,フォーク,fork
2,パイ,pie
3,オーバー,overcoat
4,鏡,mirror
5,ロッカー,locker
6,ズボン,pants
7,チョーク,chalk
8,鍵,key
9,キャンディー,candy
10,ビール,beer
11,牛肉,beef
12,薬,medicine
13,電話,phone
14,馬鹿,fool
15,客,guest
16,祖母,grandmother
17,チーム,team
18,消しゴム,eraser
19,エレベーター,elevator
20,ネズミ,rat
21,ベル,bell
22,ウサギ,rabbit
23,バター,butter
24,くさり,chain
25,ろうそく,candle
26,ブタ肉,pork
27,首,neck
28,ピーナッツ,peanut
29,メダル,medal
30,巣,nest
31,祖父,grandfather
32,ファン,fan
33,人,person
34,グループ,group
35,機械,machine
36,スカート,skirt
37,指輪,ring
38,バンド,band
39,サル,monkey
40,棒%2C横木,bar
41,パスポート,passport
42,肩,shoulder
43,ブタ,pig
44,服,clothes
45,クマ,bear
46,じゅうたん,carpet
47,農場主,farmer
48,船員,sailor
49,紳士,gentleman
50,王様,king
0,動詞
1,見つける%2C〜とわかる,find
2,決心する,decide
3,〜のように思われる,seem
4,忘れる,forget
5,計画する,plan
6,見る%2Cわかる%2C調査する,see
7,考える,think
8,信じる,believe
9,成長する%2Cになる%2C増加する%2C育てる%2C栽培する,grow
10,話す,talk
11,飛行機で行く%2C飛ぶ,fly
12,握る%2C開催する%2C差し出す,hold
13,眠る,sleep
14,笑う,laugh
15,言う,say
16,狩りをする,hunt
17,着る,wear
18,見る,watch
19,気にする,care
20,理解する,understand
21,感謝する,thank
22,思い出す%2C覚えている,remember
23,聴く,listen
24,許す,excuse
25,愛する,love
26,描く%2C引く,draw
27,運転する,drive
28,たずねる%2C頼む,ask
29,掃除する,clean
30,登る,climb
31,電話をかける,call
32,目が覚める,wake
33,押す,push
34,泣く,cry
35,聞く,hear
36,望む,hope
37,発見する,discover
38,感じる,feel
39,悩ませる,worry
40,想像する,imagine
41,望む,wish
42,嫌う,dislike
43,教える,teach
44,叫ぶ,shout
45,座る,sit
46,投げる,throw
47,見せる,show
48,教える%2C語る,tell
49,入る,enter
50,答える,answer
0,動詞
1,着る,dress
2,(船を)走らせる,sail
3,起こる,happen
4,保つ%2C〜を(持ち)続ける,keep
5,打つ,strike
6,名づける,name
7,失敗する,fail
8,休息する,rest
9,スキーをする,ski
10,参加する,join
11,勝つ,win
12,急ぐ,hurry
13,起き上がる%2Cのぼる,rise
14,落ちる,fall
15,(時間が)かかる%2C連れて行く%2C持っていく%2C取る,take
16,終わる,end
17,始まる(める),begin
18,死ぬ,die
19,支払う,pay
20,描く%2C(〜に)ペンキを塗る,paint
21,貸す,lend
22,殺す,kill
23,閉じる,close
24,出発する%2C〜を始める,start
25,選ぶ%2C摘む,pick
26,曲がる%2C回る%2C変化する,turn
27,招待する,invite
28,建てる,build
29,練習する,practice
30,跳ぶ,jump
31,乾く,dry
32,意味する,mean
33,加える,add
34,過ぎる%2C合格する%2C手渡す,pass
35,試みる,test
36,運ぶ,carry
37,失う%2C負ける,lose
38,切る,cut
39,借りる,borrow
40,買い物をする,shop
41,忠告する%2C助言する,advise
42,スケートをする,skate
43,持って来る,bring
44,費やす%2C過ごす,spend
45,終える,finish
46,置く,set
47,変わる,change
48,光る%2C輝く,shine
49,雨が降る,rain
50,〜になる,become
0,形容詞
1,利口な,clever
2,怒って,angry
3,親愛なる,dear
4,奇妙な,strange
5,この前の%2C最後の,last
6,ほかの,other
7,欠席の,absent
8,用意できている,ready
9,正しい%2C右に,right
10,いっぱいの,full
11,弱い,weak
12,茶色の,brown
13,特別の,special
14,雨降りの,rainy
15,そのような,such
16,過去の,past
17,静かな,quiet
18,(声の)大きい,loud
19,自由な%2Cひまな,free
20,すばらしい,wonderful
21,役に立つ,useful
22,薄い,light
23,むずかしい,difficult
24,人気のある,popular
25,人間の,human
26,ようこそ,welcome
27,自分の,own
28,明るい,bright
29,深い,deep
30,違った,different
31,同じ,same
32,低い,low
33,主な,main
34,おもしろい,interesting
35,疲れて,tired
36,愚かな,foolish
37,健康な,well
38,通常の,usual
39,恐れて,afraid
40,おのおのの,each
41,好運な,lucky
42,(aをつけ)少数の,few
43,曇った,cloudy
44,確信して,sure
45,十分な,enough
46,アメリカの,American
47,幅が広い,wide
48,重要な,important
49,すばらしい%2C広大な,great
50,黄色の,yellow
